('5', 'Antioquia')
('15', 'Boyacá')
('23', 'Córdoba')
('27', 'Chocó')
('52', 'Nariño')
('68', 'Santander')
('50', 'Meta')
('8', 'Atlántico')
('13', 'Bolívar')
('17', 'Caldas')
('18', 'Caquetá')
('19', 'Cauca')
('20', 'Cesar')
('25', 'Cundinamarca')
('41', 'Huila')
('44', 'La Guajira')
('47', 'Magdalena')
('63', 'Quindío')
('66', 'Risaralda')
('70', 'Sucre')
('73', 'Tolima')
('81', 'Arauca')
('85', 'Casanare')
('86', 'Putumayo')
('91', 'Amazonas')
('94', 'Guainía')
('97', 'Vaupés')
('99', 'Vichada')
('95', 'Guaviare')
('', None)
('11', 'Bogotá D.C.')
('54', 'Norte de Santander')
('76', 'Valle del Cauca')
